lemma;dict_pos;pos;by_hands_tags;frequency;R;D;Doc
настил;s;NOUN;NOUN;3,9;85;91;215
настой;s;NOUN;NOUN;3,7;83;90;192
настойка;s;NOUN;NOUN;3,3;88;91;188
настойчивость;s;NOUN;NOUN;6,0;97;94;407
настороженность;s;NOUN;NOUN;3,1;84;91;210
настояние;s;NOUN;NOUN;3,3;90;93;247
настоятель;s;NOUN;NOUN;7,9;75;81;250
настоятельница;s;NOUN;NOUN;1,6;32;61;41
настоящее;s;NOUN;NOUN;11,3;100;91;660
настроение;s;NOUN;NOUN;85,0;100;96;2893
настроенность;s;NOUN;NOUN;0,6;33;78;51
настрой;s;NOUN;NOUN;6,4;95;91;436
настройка;s;NOUN;NOUN;7,5;90;88;407
настройщик;s;NOUN;NOUN;0,5;26;76;30
наступление;s;NOUN;NOUN;30,9;100;93;1309
настурция;s;NOUN;NOUN;1,3;38;51;51
настырность;s;NOUN;NOUN;0,6;38;85;51
насыпь;s;NOUN;NOUN;6,0;85;86;217
насыщение;s;NOUN;NOUN;3,4;74;87;234
насыщенность;s;NOUN;NOUN;2,2;62;85;157
натек;s;NOUN;NOUN;0,5;17;49;17
натиск;s;NOUN;NOUN;6,1;96;93;408
натовец;s;NOUN;NOUN;0,9;22;39;28
натрий;s;NOUN;NOUN;4,9;56;75;204
натуга;s;NOUN;NOUN;2,7;62;88;186
натура;s;NOUN;NOUN;33,6;100;95;1254
натурализация;s;NOUN;NOUN;0,4;25;79;32
натурализм;s;NOUN;NOUN;1,8;58;72;89
натуралист;s;NOUN;NOUN;1,3;56;86;80
натуральность;s;NOUN;NOUN;0,6;33;78;40
натурщик;s;NOUN;NOUN;0,4;24;75;26
натурщица;s;NOUN;NOUN;1,0;31;76;36
натюрморт;s;NOUN;NOUN;3,0;73;89;174
натяжение;s;NOUN;NOUN;2,0;49;79;100
натяжка;s;NOUN;NOUN;3,3;87;92;256
наука;s;NOUN;NOUN;239,0;100;90;5170
наукоград;s;NOUN;NOUN;1,2;34;79;64
научение;s;NOUN;NOUN;0,9;24;61;38
научность;s;NOUN;NOUN;1,1;41;74;66
наушник;s;NOUN;NOUN;4,9;89;91;256
наущение;s;NOUN;NOUN;0,9;52;87;72
нафталин;s;NOUN;NOUN;1,3;57;86;89
нахал;s;NOUN;NOUN;2,7;67;88;169
нахалка;s;NOUN;NOUN;0,6;34;82;49
нахальство;s;NOUN;NOUN;2,3;74;90;159
нахалюга;s;NOUN;NOUN;0,5;8;19;9
нахлебник;s;NOUN;NOUN;0,8;40;84;62
находка;s;NOUN;NOUN;17,6;100;94;886
находчивость;s;NOUN;NOUN;2,2;78;89;141
нахождение;s;NOUN;NOUN;13,9;89;75;685
нацбанк;s;NOUN;NOUN;0,7;11;64;18
нацбол;s;NOUN;NOUN;0,5;13;61;20
нацеленность;s;NOUN;NOUN;0,8;38;84;59
наценка;s;NOUN;NOUN;1,2;51;85;80
