lemma;dict_pos;pos;by_hands_tags;frequency;R;D;Doc
абонементный;a;ADJF;ADJF;0,4;24;76;30
абонентский;a;ADJF;ADJF;2,5;53;81;127
абразивный;a;ADJF;ADJF;0,9;28;71;51
абрикосовый;a;ADJF;ADJF;1,2;51;85;73
абсолютный;a;ADJF;ADJF;42,3;100;93;2070
абстрактный;a;ADJF;ADJF;15,9;100;87;743
абсурдный;a;ADJF;ADJF;4,5;91;93;325
абхазский;a;ADJF;ADJF;2,1;53;83;92
авангардистский;a;ADJF;ADJF;0,6;33;83;44
авангардный;a;ADJF;ADJF;3,4;69;88;220
авансовый;a;ADJF;ADJF;1,4;41;73;61
авантюрный;a;ADJF;ADJF;2,3;73;90;157
аварийно-спасательный;a;ADJF;ADJF;1,2;19;51;36
аварийный;a;ADJF;ADJF;12,5;93;85;555
авгиев;a;ADJF;ADJF;0,5;34;84;40
августейший;a;ADJF;ADJF;1,1;48;84;62
августовский;a;ADJF;ADJF;5,6;90;92;336
авиакосмический;a;ADJF;ADJF;1,1;40;81;63
авианосный;a;ADJF;ADJF;0,7;22;58;23
авиастроительный;a;ADJF;ADJF;1,0;28;76;52
авиационно-космический;a;ADJF;ADJF;1,1;35;79;62
авиационный;a;ADJF;ADJF;28,6;97;89;889
авральный;a;ADJF;ADJF;0,9;40;82;56
австралийский;a;ADJF;ADJF;5,6;78;87;260
австрийский;a;ADJF;ADJF;8,3;93;91;440
австро-венгерский;a;ADJF;ADJF;0,5;32;82;35
автобиографический;a;ADJF;ADJF;3,0;66;83;175
автобусный;a;ADJF;ADJF;7,3;94;92;409
автогражданский;a;ADJF;ADJF;0,5;20;76;29
автодорожный;a;ADJF;ADJF;0,6;31;82;47
автозаводский;a;ADJF;ADJF;0,9;33;78;54
автозаправочный;a;ADJF;ADJF;0,7;36;83;50
автоматизированный;a;ADJF;ADJF;11,2;65;83;523
автоматический;a;ADJF;ADJF;24,0;99;90;1183
автоматный;a;ADJF;ADJF;4,2;76;89;197
автомобильный;a;ADJF;ADJF;34,0;99;93;1651
автономный;a;ADJF;ADJF;22,1;93;83;942
авторемонтный;a;ADJF;ADJF;0,8;30;81;42
авторизованный;a;ADJF;ADJF;0,7;34;83;49
авторитарный;a;ADJF;ADJF;3,7;62;88;211
авторитетнейший;a;ADJF;ADJF;0,5;35;85;40
авторитетный;a;ADJF;ADJF;12,1;98;92;835
авторский;a;ADJF;ADJF;27,1;99;88;1157
автоспортивный;a;ADJF;ADJF;0,5;22;78;34
автотранспортный;a;ADJF;ADJF;3,1;53;75;137
агарозный;a;ADJF;ADJF;0,6;9;51;40
агентский;a;ADJF;ADJF;1,0;32;64;45
агентурный;a;ADJF;ADJF;2,4;69;85;127
агинский;a;ADJF;ADJF;0,4;16;71;22
агитационный;a;ADJF;ADJF;2,4;57;82;131
аграрный;a;ADJF;ADJF;10,0;72;87;400
агрегатный;a;ADJF;ADJF;1,0;36;79;62
агрегированный;a;ADJF;ADJF;0,6;11;68;30
агрессивный;a;ADJF;ADJF;15,9;99;93;992
агролесомелиоративный;a;ADJF;ADJF;0,4;8;40;9
агрономический;a;ADJF;ADJF;0,7;27;73;39
агропромышленный;a;ADJF;ADJF;3,7;51;86;204
агротехнический;a;ADJF;ADJF;0,8;37;82;63
адамов;a;ADJF;ADJF;0,4;25;79;29
адаптационный;a;ADJF;ADJF;0,6;22;75;41
адаптивный;a;ADJF;ADJF;2,4;38;73;109
адаптированный;a;ADJF;ADJF;2,3;56;80;129
адвокатский;a;ADJF;ADJF;7,1;73;59;167
аддитивный;a;ADJF;ADJF;0,7;14;71;34
адекватный;a;ADJF;ADJF;17,8;92;87;1067
административно-командный;a;ADJF;ADJF;0,6;28;75;40
административно-правовой;a;ADJF;ADJF;0,7;22;64;34
административно-процессуальный;a;ADJF;ADJF;0,5;10;51;16
административно-территориальный;a;ADJF;ADJF;1,8;40;78;96
административно-хозяйственный;a;ADJF;ADJF;0,5;28;75;35
административный;a;ADJF;ADJF;88,8;99;73;2501
адмиралтейский;a;ADJF;ADJF;4,0;45;42;64
адмиральский;a;ADJF;ADJF;0,9;30;76;36
адов;a;ADJF;ADJF;1,0;46;84;71
адресный;a;ADJF;ADJF;4,1;81;89;286
адриатический;a;ADJF;ADJF;0,5;29;81;34
адский;a;ADJF;ADJF;6,6;94;91;389
адсорбционный;a;ADJF;ADJF;0,8;11;59;27
ажиотажный;a;ADJF;ADJF;0,4;22;79;35
ажурный;a;ADJF;ADJF;4,2;89;92;284
азартный;a;ADJF;ADJF;5,8;95;93;377
азбучный;a;ADJF;ADJF;0,8;44;83;57
азербайджанский;a;ADJF;ADJF;6,0;71;82;200
азиатский;a;ADJF;ADJF;10,3;97;93;582
азиатско-тихоокеанский;a;ADJF;ADJF;1,6;46;84;106
азовский;a;ADJF;ADJF;1,6;57;84;96
азорский;a;ADJF;ADJF;0,4;18;70;19
азотный;a;ADJF;ADJF;1,4;41;77;72
академический;a;ADJF;ADJF;19,6;99;92;951
академичный;a;ADJF;ADJF;0,4;24;78;34
акварельный;a;ADJF;ADJF;1,4;59;87;100
аквариумный;a;ADJF;ADJF;0,6;33;80;41
аккредитивный;a;ADJF;ADJF;0,5;5;34;6
аккумуляторный;a;ADJF;ADJF;1,6;48;79;81
аккуратненький;a;ADJF;ADJF;1,1;56;88;90
аккуратный;a;ADJF;ADJF;16,9;100;94;901
акриловый;a;ADJF;ADJF;1,0;23;65;40
акробатический;a;ADJF;ADJF;1,3;57;85;87
аксиологический;a;ADJF;ADJF;0,5;14;63;21
аксиоматический;a;ADJF;ADJF;0,6;16;66;27
актантный;a;ADJF;ADJF;0,5;5;39;6
актерский;a;ADJF;ADJF;22,8;89;85;610
активированный;a;ADJF;ADJF;1,6;40;71;65
активнейший;a;ADJF;ADJF;0,7;40;84;58
активный;a;ADJF;ADJF;85,7;100;91;4309
актовый;a;ADJF;ADJF;3,0;79;90;164
актуальный;a;ADJF;ADJF;34,7;97;89;2249
акулий;a;ADJF;ADJF;0,6;28;76;42
акустический;a;ADJF;ADJF;5,6;76;81;247
акушерский;a;ADJF;ADJF;0,4;15;69;20
акцизный;a;ADJF;ADJF;1,4;41;81;62
акционерный;a;ADJF;ADJF;17,6;86;80;748
алайский;a;ADJF;ADJF;0,6;8;39;8
албанский;a;ADJF;ADJF;2,0;40;74;56
алгебраический;a;ADJF;ADJF;2,1;36;69;68
алгоритмический;a;ADJF;ADJF;1,7;19;62;52
алебастровый;a;ADJF;ADJF;0,4;26;80;29
александрийский;a;ADJF;ADJF;3,0;59;78;106
александринский;a;ADJF;ADJF;1,1;32;67;38
александровский;a;ADJF;ADJF;3,0;78;86;171
александро-невский;a;ADJF;ADJF;0,9;30;76;43
алексеевский;a;ADJF;ADJF;1,2;42;80;58
аленький;a;ADJF;ADJF;0,4;25;79;29
алжирский;a;ADJF;ADJF;0,8;38;79;46
алкогольный;a;ADJF;ADJF;11,4;96;90;521
аллантоисный;a;ADJF;ADJF;0,6;6;48;22
аллегорический;a;ADJF;ADJF;1,2;47;81;67
аллергический;a;ADJF;ADJF;2,1;61;85;127
алма-атинский;a;ADJF;ADJF;0,8;35;79;45
алмазный;a;ADJF;ADJF;5,1;86;90;244
алмазоносный;a;ADJF;ADJF;0,4;11;55;13
алогичный;a;ADJF;ADJF;0,4;31;81;35
алтайский;a;ADJF;ADJF;5,3;75;89;280
алтарный;a;ADJF;ADJF;1,0;32;64;38
алфавитный;a;ADJF;ADJF;1,2;52;87;84
алхимический;a;ADJF;ADJF;1,1;29;58;33
алчный;a;ADJF;ADJF;2,0;74;90;149
алый;a;ADJF;ADJF;13,2;97;93;610
альбомный;a;ADJF;ADJF;0,4;26;75;27
альвеолярный;a;ADJF;ADJF;0,4;6;20;8
альпийский;a;ADJF;ADJF;4,2;83;90;239
альпинистский;a;ADJF;ADJF;1,0;46;85;66
альтернативный;a;ADJF;ADJF;19,8;82;86;962
альтовый;a;ADJF;ADJF;0,4;13;46;16
альтруистический;a;ADJF;ADJF;0,4;27;79;33
альфа;a;ADJF;ADJF;1,6;54;83;97
алюминиевый;a;ADJF;ADJF;15,7;98;93;683
аляповатый;a;ADJF;ADJF;1,0;55;88;75
амазонский;a;ADJF;ADJF;0,4;23;76;27
амбарный;a;ADJF;ADJF;2,0;62;87;123
амбивалентный;a;ADJF;ADJF;0,8;37;83;58
амбициозный;a;ADJF;ADJF;5,0;80;90;408
амбулаторный;a;ADJF;ADJF;1,0;47;82;63
американский;a;ADJF;ADJF;186,5;100;92;5025
аминокислотный;a;ADJF;ADJF;4,1;14;64;110
аммиачный;a;ADJF;ADJF;0,8;33;80;44
аморальный;a;ADJF;ADJF;3,3;91;92;210
амортизационный;a;ADJF;ADJF;1,2;39;78;67
аморфный;a;ADJF;ADJF;2,9;65;82;163
ампирный;a;ADJF;ADJF;0,7;29;74;40
амплитудный;a;ADJF;ADJF;0,4;13;61;19
амстердамский;a;ADJF;ADJF;0,5;30;81;38
амурный;a;ADJF;ADJF;0,7;38;82;62
амурский;a;ADJF;ADJF;2,9;61;88;171
анаболический;a;ADJF;ADJF;0,6;7;18;8
анадырский;a;ADJF;ADJF;0,4;11;39;12
аналитический;a;ADJF;ADJF;18,1;91;85;915
аналогичный;a;ADJF;ADJF;46,7;100;89;2754
аналоговый;a;ADJF;ADJF;1,8;41;77;96
анальный;a;ADJF;ADJF;2,4;47;64;62
анархический;a;ADJF;ADJF;0,8;39;83;51
анатомический;a;ADJF;ADJF;3,4;82;80;162
анаэробный;a;ADJF;ADJF;0,7;18;70;27
ангажированный;a;ADJF;ADJF;0,9;39;81;64
ангарский;a;ADJF;ADJF;1,1;46;84;60
ангельский;a;ADJF;ADJF;3,9;85;88;226
английский;a;ADJF;ADJF;108,4;100;94;3206
англиканский;a;ADJF;ADJF;0,4;21;62;32
англо-американский;a;ADJF;ADJF;1,5;49;84;86
англо-русский;a;ADJF;ADJF;0,4;25;79;32
англосаксонский;a;ADJF;ADJF;1,2;42;81;70
англоязычный;a;ADJF;ADJF;2,1;60;87;152
ангольский;a;ADJF;ADJF;0,7;16;61;17
андерсеновский;a;ADJF;ADJF;0,5;23;65;25
андреевский;a;ADJF;ADJF;1,4;53;83;68
анекдотический;a;ADJF;ADJF;1,4;66;89;109
анекдотичный;a;ADJF;ADJF;0,4;28;81;35
анемичный;a;ADJF;ADJF;0,6;39;85;55
анизотропный;a;ADJF;ADJF;0,5;14;67;31
анимационный;a;ADJF;ADJF;1,4;37;71;60
анин;a;ADJF;ADJF;1,0;24;70;28
аничков;a;ADJF;ADJF;0,4;23;78;27
анкетный;a;ADJF;ADJF;2,0;64;81;114
анодный;a;ADJF;ADJF;0,7;13;62;19
аномальный;a;ADJF;ADJF;2,9;58;80;138
анонимный;a;ADJF;ADJF;6,3;94;92;378
ансамблевый;a;ADJF;ADJF;0,4;20;76;31
антагонистический;a;ADJF;ADJF;0,6;29;81;42
антарктический;a;ADJF;ADJF;1,6;38;73;49
антенный;a;ADJF;ADJF;1,3;42;77;65
антиалкогольный;a;ADJF;ADJF;0,9;43;83;60
антиамериканский;a;ADJF;ADJF;1,1;41;84;70
антибактериальный;a;ADJF;ADJF;0,7;31;79;46
антивирусный;a;ADJF;ADJF;2,2;30;69;67
антивоенный;a;ADJF;ADJF;1,2;39;81;72
антигенный;a;ADJF;ADJF;7,3;15;61;129
антигитлеровский;a;ADJF;ADJF;0,8;33;80;42
антигосударственный;a;ADJF;ADJF;0,7;39;84;52
антидемпинговый;a;ADJF;ADJF;1,1;33;78;56
антидопинговый;a;ADJF;ADJF;0,6;15;68;18
антизападный;a;ADJF;ADJF;0,5;25;78;36
антиимпериалистический;a;ADJF;ADJF;0,4;19;69;21
антикварный;a;ADJF;ADJF;5,3;85;90;292
антикоммунистический;a;ADJF;ADJF;1,0;37;82;64
антиконституционный;a;ADJF;ADJF;0,7;26;77;47
антикоррозийный;a;ADJF;ADJF;0,4;21;76;33
антикоррозионный;a;ADJF;ADJF;0,5;18;71;29
антикоррупционный;a;ADJF;ADJF;1,0;26;79;53
антикризисный;a;ADJF;ADJF;1,3;40;80;74
антимикробный;a;ADJF;ADJF;0,6;17;61;23
антимонопольный;a;ADJF;ADJF;5,9;58;84;278
антинаркотический;a;ADJF;ADJF;1,0;28;70;46
антинародный;a;ADJF;ADJF;2,4;59;88;162
антинаучный;a;ADJF;ADJF;0,5;29;80;34
антинациональный;a;ADJF;ADJF;0,4;25;78;30
антиобщественный;a;ADJF;ADJF;0,8;46;87;60
антиоксидантный;a;ADJF;ADJF;0,5;14;62;21
антиохийский;a;ADJF;ADJF;0,6;23;72;35
антипартийный;a;ADJF;ADJF;1,0;35;75;43
антиправительственный;a;ADJF;ADJF;0,9;45;85;65
антипробуксовочный;a;ADJF;ADJF;0,4;16;69;23
антирабический;a;ADJF;ADJF;0,6;8;52;10
антирелигиозный;a;ADJF;ADJF;0,8;38;83;53
антироссийский;a;ADJF;ADJF;1,0;38;84;67
антирусский;a;ADJF;ADJF;1,1;46;84;68
антисанитарный;a;ADJF;ADJF;0,5;33;83;41
антисемитский;a;ADJF;ADJF;3,2;59;85;146
антисептический;a;ADJF;ADJF;0,5;33;82;42
антисоветский;a;ADJF;ADJF;8,9;84;89;281
антисоциальный;a;ADJF;ADJF;0,6;32;83;46
антисталинский;a;ADJF;ADJF;0,7;30;80;41
антитеррористический;a;ADJF;ADJF;6,1;60;84;330
антифашистский;a;ADJF;ADJF;2,0;52;84;89
антихристианский;a;ADJF;ADJF;0,5;22;71;36
антицеллюлитный;a;ADJF;ADJF;0,5;13;58;15
античный;a;ADJF;ADJF;14,5;96;85;501
антоновский;a;ADJF;ADJF;0,8;36;82;45
антропный;a;ADJF;ADJF;0,6;10;30;12
антропогенный;a;ADJF;ADJF;3,9;34;72;130
антропологический;a;ADJF;ADJF;2,4;57;79;103
антропоморфный;a;ADJF;ADJF;0,5;21;72;28
анютин;a;ADJF;ADJF;0,8;45;86;63
апатичный;a;ADJF;ADJF;0,5;37;85;45
апелляционный;a;ADJF;ADJF;8,5;42;67;150
апельсиновый;a;ADJF;ADJF;3,9;82;90;234
апеннинский;a;ADJF;ADJF;0,4;23;74;25
апикальный;a;ADJF;ADJF;3,9;5;9;8
апокалипсический;a;ADJF;ADJF;0,5;31;82;38
апокалиптический;a;ADJF;ADJF;1,6;62;88;112
апокрифический;a;ADJF;ADJF;0,6;28;70;31
аполитичный;a;ADJF;ADJF;1,4;58;88;98
апологетический;a;ADJF;ADJF;0,4;26;81;33
апостольский;a;ADJF;ADJF;2,3;53;67;136
аппаратно-программный;a;ADJF;ADJF;0,6;13;47;19
аппаратный;a;ADJF;ADJF;5,4;69;87;302
аппаратурный;a;ADJF;ADJF;0,5;15;64;30
аппетитный;a;ADJF;ADJF;2,4;78;91;182
апрельский;a;ADJF;ADJF;4,8;90;92;315
априорный;a;ADJF;ADJF;2,6;38;71;90
апробированный;a;ADJF;ADJF;0,6;35;83;54
аптекарский;a;ADJF;ADJF;1,7;50;58;68
аптечный;a;ADJF;ADJF;3,4;80;81;151
арабо-израильский;a;ADJF;ADJF;1,0;34;78;61
арабский;a;ADJF;ADJF;20,5;100;88;757
аравийский;a;ADJF;ADJF;1,6;56;85;88
аральский;a;ADJF;ADJF;0,6;23;71;27
арамейский;a;ADJF;ADJF;0,8;22;56;28
арбатский;a;ADJF;ADJF;3,7;76;82;154
арбитражно-процессуальный;a;ADJF;ADJF;0,4;14;59;22
арбитражный;a;ADJF;ADJF;54,8;61;72;622
арбовирусный;a;ADJF;ADJF;0,4;10;65;24
арбузный;a;ADJF;ADJF;1,2;40;76;55
аргентинский;a;ADJF;ADJF;2,4;70;87;133
аргументированный;a;ADJF;ADJF;0,9;33;84;47
аргунский;a;ADJF;ADJF;0,5;15;60;18
арендный;a;ADJF;ADJF;6,0;67;86;264
арестантский;a;ADJF;ADJF;2,1;45;76;73
арзамасский;a;ADJF;ADJF;0,7;28;76;38
арийский;a;ADJF;ADJF;1,3;55;82;71
аристократический;a;ADJF;ADJF;4,3;88;92;277
аристократичный;a;ADJF;ADJF;0,6;38;85;49
аристотелевский;a;ADJF;ADJF;0,5;19;72;31
арифметический;a;ADJF;ADJF;3,6;82;82;213
арктический;a;ADJF;ADJF;3,9;75;80;163
арматурный;a;ADJF;ADJF;0,5;33;84;37
армейский;a;ADJF;ADJF;23,3;99;93;923
армированный;a;ADJF;ADJF;0,5;31;79;36
армянский;a;ADJF;ADJF;13,3;97;88;443
ароматический;a;ADJF;ADJF;3,1;71;74;146
ароматный;a;ADJF;ADJF;5,0;94;92;318
арочный;a;ADJF;ADJF;0,9;43;83;61
арсенальный;a;ADJF;ADJF;0,4;14;50;15
артезианский;a;ADJF;ADJF;0,8;44;84;58
артельный;a;ADJF;ADJF;1,0;39;72;47
артериальный;a;ADJF;ADJF;2,8;56;69;113
артиллерийский;a;ADJF;ADJF;12,6;95;92;451
артистический;a;ADJF;ADJF;6,3;90;89;323
артистичный;a;ADJF;ADJF;1,8;63;88;131
архаический;a;ADJF;ADJF;2,5;64;80;134
архаичный;a;ADJF;ADJF;3,5;78;77;193
архангельский;a;ADJF;ADJF;8,9;92;90;411
археологический;a;ADJF;ADJF;3,5;78;89;192
архетипический;a;ADJF;ADJF;0,7;29;62;41
архивный;a;ADJF;ADJF;6,2;87;90;319
архиерейский;a;ADJF;ADJF;3,4;51;74;136
архипастырский;a;ADJF;ADJF;0,5;21;71;28
архитектурно-планировочный;a;ADJF;ADJF;0,4;23;79;30
архитектурно-строительный;a;ADJF;ADJF;0,8;32;80;58
архитектурный;a;ADJF;ADJF;21,1;97;89;878
аршинный;a;ADJF;ADJF;0,5;31;83;41
асбестовый;a;ADJF;ADJF;0,5;17;62;18
асимметричный;a;ADJF;ADJF;2,6;67;85;150
асинхронный;a;ADJF;ADJF;0,6;21;74;28
аскетический;a;ADJF;ADJF;2,6;74;82;151
аскетичный;a;ADJF;ADJF;0,9;49;87;77
аскорбиновый;a;ADJF;ADJF;0,7;31;81;47
асоциальный;a;ADJF;ADJF;0,8;45;84;54
аспирантский;a;ADJF;ADJF;0,7;34;82;47
ассирийский;a;ADJF;ADJF;0,8;40;82;49
ассортиментный;a;ADJF;ADJF;0,8;38;81;61
ассоциативный;a;ADJF;ADJF;2,9;66;81;147
ассоциированный;a;ADJF;ADJF;1,4;36;76;77
астматический;a;ADJF;ADJF;0,4;30;80;34
астральный;a;ADJF;ADJF;1,4;50;81;76
астраханский;a;ADJF;ADJF;6,7;72;83;250
астрологический;a;ADJF;ADJF;1,1;50;86;82
астрономический;a;ADJF;ADJF;5,7;91;86;271
астрофизический;a;ADJF;ADJF;0,8;17;61;26
асфальтовый;a;ADJF;ADJF;4,3;85;91;264
атеистический;a;ADJF;ADJF;2,0;64;86;127
атипичный;a;ADJF;ADJF;1,2;35;78;56
атлантический;a;ADJF;ADJF;4,1;82;90;237
атласный;a;ADJF;ADJF;2,8;71;88;157
атлетический;a;ADJF;ADJF;1,3;54;84;83
атмосферный;a;ADJF;ADJF;6,2;79;85;324
атомарный;a;ADJF;ADJF;0,8;26;75;46
атомный;a;ADJF;ADJF;32,4;98;87;916
атрибутивный;a;ADJF;ADJF;1,2;12;63;40
аттестационный;a;ADJF;ADJF;0,7;36;80;51
аттрактивный;a;ADJF;ADJF;0,7;4;4;4
аудиовизуальный;a;ADJF;ADJF;0,8;23;60;32
аудиторский;a;ADJF;ADJF;3,2;56;82;145
аукционный;a;ADJF;ADJF;1,9;41;78;88
аутентичный;a;ADJF;ADJF;0,9;37;85;69
аутоиммунный;a;ADJF;ADJF;0,5;12;58;26
афганский;a;ADJF;ADJF;8,7;82;82;303
афинский;a;ADJF;ADJF;1,3;55;86;84
афишный;a;ADJF;ADJF;0,4;28;82;32
афонский;a;ADJF;ADJF;0,5;16;55;32
африканский;a;ADJF;ADJF;11,6;99;92;599
аффективный;a;ADJF;ADJF;1,9;27;65;58
аффилированный;a;ADJF;ADJF;0,7;31;73;50
аффинный;a;ADJF;ADJF;0,6;10;57;20
ахиллесов;a;ADJF;ADJF;0,7;40;85;54
ахматовский;a;ADJF;ADJF;1,6;36;59;50
аховый;a;ADJF;ADJF;0,4;29;82;38
ачинский;a;ADJF;ADJF;0,4;21;72;27
ашхабадский;a;ADJF;ADJF;0,4;20;72;22
аэробный;a;ADJF;ADJF;0,7;24;76;34
аэрогенный;a;ADJF;ADJF;0,4;5;46;7
аэродинамический;a;ADJF;ADJF;3,6;63;85;184
аэродромный;a;ADJF;ADJF;1,2;49;81;68
аэрозольный;a;ADJF;ADJF;1,2;42;75;62
аэрокосмический;a;ADJF;ADJF;1,6;44;83;95
аэропортовский;a;ADJF;ADJF;0,5;31;79;35
аэрофлотовский;a;ADJF;ADJF;0,4;19;74;24
бабий;a;ADJF;ADJF;10,5;93;84;409
бабкин;a;ADJF;ADJF;1,7;39;81;72
бабский;a;ADJF;ADJF;1,4;45;83;84
бабушкин;a;ADJF;ADJF;7,0;92;91;338
баварский;a;ADJF;ADJF;2,0;67;88;131
багажный;a;ADJF;ADJF;2,4;65;79;127
багдадский;a;ADJF;ADJF;0,8;30;73;44
багровый;a;ADJF;ADJF;6,9;79;88;341
багряный;a;ADJF;ADJF;1,1;53;88;83
баженовский;a;ADJF;ADJF;2,9;10;30;13
базальный;a;ADJF;ADJF;5,1;12;12;20
базальтовый;a;ADJF;ADJF;1,0;44;84;62
базарный;a;ADJF;ADJF;3,1;80;90;208
базельский;a;ADJF;ADJF;0,6;17;64;17
базисный;a;ADJF;ADJF;2,5;48;72;109
базовый;a;ADJF;ADJF;28,4;81;89;1457
байкальский;a;ADJF;ADJF;2,1;55;85;96
байковый;a;ADJF;ADJF;2,2;65;87;139
бакинский;a;ADJF;ADJF;4,5;61;55;101
бактериальный;a;ADJF;ADJF;2,0;34;73;99
бактериологический;a;ADJF;ADJF;1,2;50;85;82
бактерицидный;a;ADJF;ADJF;0,8;35;79;54
балаганный;a;ADJF;ADJF;0,8;44;85;55
балаковский;a;ADJF;ADJF;0,7;21;70;30
балансовый;a;ADJF;ADJF;2,9;51;81;159
балашихинский;a;ADJF;ADJF;0,4;21;72;26
балетный;a;ADJF;ADJF;6,5;80;88;275
балканский;a;ADJF;ADJF;2,5;64;83;123
балконный;a;ADJF;ADJF;2,3;68;87;137
баллистический;a;ADJF;ADJF;5,1;71;87;219
балльный;a;ADJF;ADJF;1,0;32;70;48
балованный;a;ADJF;ADJF;0,6;35;83;47
балтийский;a;ADJF;ADJF;9,5;90;89;437
бальзаковский;a;ADJF;ADJF;0,6;38;84;44
бальный;a;ADJF;ADJF;2,4;80;91;147
бамбуковый;a;ADJF;ADJF;2,9;72;83;149
банальнейший;a;ADJF;ADJF;0,4;26;81;32
банальный;a;ADJF;ADJF;13,6;100;94;851
банановый;a;ADJF;ADJF;1,3;60;86;90
бангкокский;a;ADJF;ADJF;0,6;4;30;4
бандитский;a;ADJF;ADJF;6,9;83;90;368
банкетный;a;ADJF;ADJF;1,7;66;87;101
банкирский;a;ADJF;ADJF;0,5;31;80;32
банковский;a;ADJF;ADJF;38,0;94;90;1212
баннерный;a;ADJF;ADJF;0,4;9;43;15
банный;a;ADJF;ADJF;4,3;83;84;232
баночный;a;ADJF;ADJF;0,7;32;79;38
баптистский;a;ADJF;ADJF;0,5;22;72;24
барабанный;a;ADJF;ADJF;3,5;84;80;203
бараний;a;ADJF;ADJF;4,1;82;89;231
барачный;a;ADJF;ADJF;1,6;55;86;98
барашковый;a;ADJF;ADJF;0,5;25;77;29
бардовский;a;ADJF;ADJF;0,4;24;77;30
баренцев;a;ADJF;ADJF;1,7;55;84;86
барионный;a;ADJF;ADJF;0,5;4;32;4
баритональный;a;ADJF;ADJF;0,5;27;77;30
барнаульский;a;ADJF;ADJF;1,0;44;86;60
барный;a;ADJF;ADJF;1,1;41;83;64
барокко;a;ADJF;ADJF;0,8;35;79;52
барочный;a;ADJF;ADJF;1,4;52;84;81
баррикадный;a;ADJF;ADJF;0,4;29;82;33
барселонский;a;ADJF;ADJF;0,5;20;72;23
барский;a;ADJF;ADJF;4,7;89;90;249
барственный;a;ADJF;ADJF;0,4;29;81;33
барсучий;a;ADJF;ADJF;0,5;17;63;19
бартерный;a;ADJF;ADJF;0,8;37;80;53
бархатистый;a;ADJF;ADJF;1,5;64;89;109
бархатный;a;ADJF;ADJF;11,3;98;94;559
барьерный;a;ADJF;ADJF;0,7;22;62;32
басистый;a;ADJF;ADJF;0,4;27;81;34
баскетбольный;a;ADJF;ADJF;3,5;73;89;197
басманный;a;ADJF;ADJF;0,9;38;84;63
баснословный;a;ADJF;ADJF;2,3;77;90;157
басовитый;a;ADJF;ADJF;0,9;53;88;70
басовый;a;ADJF;ADJF;1,0;39;82;60
бассейновый;a;ADJF;ADJF;0,6;19;60;25
батальный;a;ADJF;ADJF;0,5;35;84;45
батальонный;a;ADJF;ADJF;1,9;48;72;76
батарейный;a;ADJF;ADJF;0,5;23;75;27
батистовый;a;ADJF;ADJF;0,7;36;84;55
батумский;a;ADJF;ADJF;0,4;14;59;16
бауманский;a;ADJF;ADJF;1,0;43;78;66
баховский;a;ADJF;ADJF;0,5;25;78;30
бахромчатый;a;ADJF;ADJF;0,6;13;23;13
бахтинский;a;ADJF;ADJF;0,4;16;63;18
бахчисарайский;a;ADJF;ADJF;0,5;26;76;30
башенный;a;ADJF;ADJF;1,5;59;88;97
башкирский;a;ADJF;ADJF;3,0;59;85;147
башковитый;a;ADJF;ADJF;0,5;26;79;36
бдительный;a;ADJF;ADJF;5,6;96;93;378
беглый;a;ADJF;ADJF;6,8;97;92;411
беговой;a;ADJF;ADJF;2,7;62;86;140
бегучий;a;ADJF;ADJF;0,4;18;75;24
беднейший;a;ADJF;ADJF;1,1;56;87;84
бедненький;a;ADJF;ADJF;1,8;60;87;132
бедный;a;ADJF;ADJF;84,0;100;96;2586
бедняцкий;a;ADJF;ADJF;0,5;26;78;33
бедовый;a;ADJF;ADJF;1,0;38;74;60
бедренный;a;ADJF;ADJF;1,4;23;36;30
бедственный;a;ADJF;ADJF;2,3;76;91;183
бедствующий;a;ADJF;ADJF;0,6;37;85;51
бежевый;a;ADJF;ADJF;3,5;77;89;186
безаварийный;a;ADJF;ADJF;0,6;28;78;44
безадресный;a;ADJF;ADJF;0,4;24;80;28
безалаберный;a;ADJF;ADJF;1,2;53;86;87
безалкогольный;a;ADJF;ADJF;1,5;59;87;116
безальтернативный;a;ADJF;ADJF;0,8;36;83;58
безапелляционный;a;ADJF;ADJF;1,2;55;85;83
безбедный;a;ADJF;ADJF;1,0;49;86;84
безбилетный;a;ADJF;ADJF;0,5;25;78;31
безбожный;a;ADJF;ADJF;1,8;64;83;120
безболезненный;a;ADJF;ADJF;1,6;78;91;135
безбородый;a;ADJF;ADJF;0,6;32;81;41
безбрежный;a;ADJF;ADJF;2,2;78;91;155
безвестный;a;ADJF;ADJF;3,6;88;92;220
безветренный;a;ADJF;ADJF;1,3;56;89;101
безвизовый;a;ADJF;ADJF;1,2;37;79;72
безвинный;a;ADJF;ADJF;1,4;53;86;94
безвкусный;a;ADJF;ADJF;2,6;79;91;196
безводный;a;ADJF;ADJF;0,9;41;77;58
безвозвратный;a;ADJF;ADJF;1,1;58;88;86
безвоздушный;a;ADJF;ADJF;1,1;65;90;89
безвозмездный;a;ADJF;ADJF;4,1;59;74;184
безволосый;a;ADJF;ADJF;0,5;25;79;41
безвольный;a;ADJF;ADJF;2,8;85;92;206
безвредный;a;ADJF;ADJF;3,2;87;92;236
безвременный;a;ADJF;ADJF;1,4;61;84;96
безвыходный;a;ADJF;ADJF;3,7;90;91;255
безглазый;a;ADJF;ADJF;0,9;27;59;39
безгласный;a;ADJF;ADJF;0,8;42;84;64
